,0,1,2,3,4,5
3828,1641622500,3205.39,3215.9,3211.8,3207.36,41.7874003
3829,1641621600,3205.31,3214.64,3210.52,3210.4,17.80833325
3830,1641620700,3204.8,3215.87,3206.59,3213.87,22.74031495
3831,1641619800,3205.11,3219.56,3219.38,3207.18,51.68172952
3832,1641618900,3211.2,3218.29,3216.87,3217.69,57.42956674
3833,1641618000,3208.81,3216.52,3214.15,3216.52,44.57911383
3834,1641617100,3217.02,3225.72,3220.92,3217.02,69.30680297
3835,1641616200,3203.09,3221.75,3203.09,3220.92,33.23642062
3836,1641615300,3203.1,3215.67,3208.4,3203.69,53.69701022
3837,1641614400,3205.11,3217.29,3207.46,3208.12,55.8719314
3838,1641613500,3189.26,3209.9,3199.36,3206.33,87.23311036
3839,1641612600,3186.85,3201.35,3187.13,3197.41,63.70385694
3840,1641611700,3181.17,3208.75,3208.75,3193.75,85.55670853
3841,1641610800,3204.13,3211.95,3207.52,3207.54,22.96171304
3842,1641609900,3196.81,3209.6,3200.0,3207.52,54.87296374
3843,1641609000,3189.58,3207.39,3207.37,3196.43,66.07003771
3844,1641608100,3204.92,3212.05,3208.59,3209.13,59.18127931
3845,1641607200,3206.03,3221.18,3218.85,3209.85,73.92817108
3846,1641606300,3215.76,3228.96,3222.35,3218.76,44.93910469
3847,1641605400,3221.23,3228.92,3226.16,3225.31,28.22720851
3848,1641604500,3222.18,3235.42,3233.4,3222.18,54.20376494
3849,1641603600,3227.51,3245.58,3235.04,3237.19,103.98840694
3850,1641602700,3216.13,3237.84,3217.6,3235.33,107.23373203
3851,1641601800,3209.37,3221.9,3221.9,3217.46,62.68106994
3852,1641600900,3203.45,3225.06,3207.91,3221.84,99.93494022
3853,1641600000,3188.17,3213.41,3201.11,3206.41,68.87011442
3854,1641599100,3184.8,3200.0,3193.16,3200.0,22.4089696
3855,1641598200,3188.5,3197.92,3191.84,3197.16,43.09323432
3856,1641597300,3173.59,3186.62,3181.53,3186.62,51.59187593
3857,1641596400,3172.56,3186.26,3182.26,3181.52,61.7642407
3858,1641595500,3165.44,3190.0,3183.98,3182.26,36.15202026
3859,1641594600,3183.21,3197.82,3197.82,3183.21,23.42532796
3860,1641593700,3196.75,3209.03,3203.18,3200.0,39.92761462
3861,1641592800,3200.0,3213.2,3213.2,3200.0,82.18514849
3862,1641591900,3214.52,3221.13,3216.79,3214.52,63.35815649
3863,1641591000,3212.84,3222.37,3216.66,3219.12,48.07287155
3864,1641590100,3206.03,3217.23,3212.25,3213.63,98.82838918
3865,1641589200,3211.39,3223.61,3215.13,3213.45,186.87391998
3866,1641588300,3201.58,3225.0,3207.69,3215.13,169.90784935
